equation_id,latex,lookup_key,source_kind,pattern_name,source_snippet,source_path,lane,article_slug
the-93-year-floor-EQ-001,L(n) = L_0 \cdot e^{-n/\tau} + L_{\text{floor}},lnl0enlfloor,page_scan,display_dollars,$$L(n) = L_0 \cdot e^{-n/\tau} + L_{\text{floor}}$$,_link-fix-backups/one-page-stories-20260623-220423/one-page-stories/measure-and-judgment/the-93-year-floor.html,_link-fix-backups,the-93-year-floor
consciousness-chi-field-action-wrapped-EQ-001,"S_\chi = \int d^4x \sqrt{-g} \left[ \frac{1}{2\kappa_0}(1 + \xi \kappa_0 \chi^2) R - \frac{1}{2} g^{\mu\nu} \partial_\mu \chi \, \partial_\nu \chi - \frac{1}{2} m_\chi^2 \chi^2 - \frac{\lambda}{4} \chi^4 + \mathcal{L}_{\text{matter}} \right]",schiintd4xg12010chi2r12gmunumuchinuchi12mchi2chi24chi4lmatter,page_scan,display_dollars,"$$S_\chi = \int d^4x \sqrt{-g} \left[ \frac{1}{2\kappa_0}(1 + \xi \kappa_0 \chi^2) R - \frac{1}{2} g^{\mu\nu} \partial_\mu \chi \, \partial_\nu \chi - \frac{1}{2} m_\chi^2 \chi^2 -",consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-002,\Box \chi - m_\chi^2 \chi - \lambda \chi^3 + \xi \kappa_0 \chi R = 0,chimchi2chichi30chir0,page_scan,display_dollars,$$\Box \chi - m_\chi^2 \chi - \lambda \chi^3 + \xi \kappa_0 \chi R = 0$$,consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-003,V_{\text{eff}}(\chi) = \frac{1}{2}\left(m_\chi^2 - \xi \kappa_0 R\right)\chi^2 + \frac{\lambda}{4}\chi^4,veffchi12mchi20rchi24chi4,page_scan,display_dollars,$$V_{\text{eff}}(\chi) = \frac{1}{2}\left(m_\chi^2 - \xi \kappa_0 R\right)\chi^2 + \frac{\lambda}{4}\chi^4$$,consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-004,G_{\mu\nu} = \kappa_0 \left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)}\right) - \xi\kappa_0\left(\chi^2 G_{\mu\nu} + g_{\mu\nu}\Box(\chi^2) - \nabla_\mu\nabla_\nu(\chi^2)\right),gmunu0tmunumattertmunuchi0chi2gmunugmunuchi2munuchi2,page_scan,display_dollars,$$G_{\mu\nu} = \kappa_0 \left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)}\right) - \xi\kappa_0\left(\chi^2 G_{\mu\nu} + g_{\mu\nu}\Box(\chi^2) - \nabla_\mu\nabla_\nu(\chi^2),consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-005,"T_{\mu\nu}^{(\chi)} = \partial_\mu\chi\,\partial_\nu\chi - g_{\mu\nu}\left(\frac{1}{2}\partial_\alpha\chi\,\partial^\alpha\chi + V(\chi)\right)",tmunuchimuchinuchigmunu12vchi,page_scan,display_dollars,"$$T_{\mu\nu}^{(\chi)} = \partial_\mu\chi\,\partial_\nu\chi - g_{\mu\nu}\left(\frac{1}{2}\partial_\alpha\chi\,\partial^\alpha\chi + V(\chi)\right)$$",consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-006,"G_{\mu\nu}(1 + \xi\kappa_0\chi_0^2) = \kappa_0 \, T_{\mu\nu}^{(\text{matter})} + \kappa_0 \, g_{\mu\nu} V(\chi_0)",gmunu10chi020tmunumatter0gmunuvchi0,page_scan,display_dollars,"$$G_{\mu\nu}(1 + \xi\kappa_0\chi_0^2) = \kappa_0 \, T_{\mu\nu}^{(\text{matter})} + \kappa_0 \, g_{\mu\nu} V(\chi_0)$$",consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-007,\Box\delta\chi + m_{\text{eff}}^2 \delta\chi = 0,meff20,page_scan,display_dollars,$$\Box\delta\chi + m_{\text{eff}}^2 \delta\chi = 0$$,consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-008,m_{\text{eff}}^2 = m_\chi^2 + 3\lambda\chi_0^2 - \xi\kappa_0 R,meff2mchi23020r,page_scan,display_dollars,$$m_{\text{eff}}^2 = m_\chi^2 + 3\lambda\chi_0^2 - \xi\kappa_0 R$$,consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
consciousness-chi-field-action-wrapped-EQ-009,\omega^2 = k^2 c^2 + m_{\text{eff}}^2 c^4/\hbar^2,2k2c2meff2c4hbar2,page_scan,display_dollars,$$\omega^2 = k^2 c^2 + m_{\text{eff}}^2 c^4/\hbar^2$$,consciousness/consciousness-chi-field-action-wrapped.html,consciousness,consciousness-chi-field-action-wrapped
