html_path,html_title,md_match_count,best_score,match_type,best_md_path,best_md_title,all_matches
audio\index.html,"Theophysics Audio — Narrated Papers, Stories & Deep Dives",0,,,,,
Axiom Layer\axioms-closure.html,Closure & Omega — Proof Explorer — Theophysics,0,,,,,
Axiom Layer\axioms-layer-0-core.html,Canonical Axiom Foundation — Proof Explorer,0,,,,,
Axiom Layer\axioms-layer-2-derived.html,Derived Chain Claims — Proof Explorer,0,,,,,
Axiom Layer\axioms-layer-3-extended.html,Extended Boundary Model — Proof Explorer,0,,,,,
Axiom Layer\fp-005-enhanced.html,FP-005 | Enhanced Proof Explorer — 6-Layer Stack,2,80,contains-title,O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md,PROOF_EXPLORER_FP-005,80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md; 80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005_v2.md
Axiom Layer\fp-005.html,FP-005 | The Resurrection Paper — Proof Explorer,2,80,contains-title,O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md,PROOF_EXPLORER_FP-005,80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md; 80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005_v2.md
blue\derivatives.html,What the Laws Produce | Derivative Families · David Lowe,0,,,,,
blue\evolution-probe.html,The Evolution Probe | Three Mathematical Killshots · David Lowe,0,,,,,
blue\god-in-the-equations.html,God in the Equations | The Ten Laws · David Lowe,1,80,contains-title,O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md,E_Equation,80:O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md
blue\gold-standard-test-battery.html,Gold Standard Test Battery | David Lowe,0,,,,,
blue\i-didnt-write-the-math.html,I Didn't Write the Math. I Found It. | David Lowe,1,100,exact-title,O:\_Theophysics_v3\David\Family\I Didn't Write the Math. I Found It..md,I Didn't Write the Math. I Found It.,100:O:\_Theophysics_v3\David\Family\I Didn't Write the Math. I Found It..md
blue\index.html,Where All This Came From | David Lowe · Family Briefing,1,100,exact-title,O:\_Theophysics_v3\David\Family\Where All This Came From.md,Where All This Came From,100:O:\_Theophysics_v3\David\Family\Where All This Came From.md
blue\lowe-coherence-lagrangian.html,The Lowe Coherence Lagrangian | David Lowe,5,100,exact-title,O:\_Theophysics_v3\99_MATH_APPENDIX\__ MASTER EQ\THE_LOWE_COHERENCE_LAGRANGIAN.md,THE_LOWE_COHERENCE_LAGRANGIAN,100:O:\_Theophysics_v3\99_MATH_APPENDIX\__ MASTER EQ\THE_LOWE_COHERENCE_LAGRANGIAN.md; 100:O:\_Theophysics_v3\David\Family\The Lowe Coherence Lagrangian.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\_STRUCTURED_DRAFTS_GUI\core\Lowe Coherence Lagrangian.md; 80:O:\_Theophysics_v3\00_Canonical\Glossary\Lowe Coherence Lagrangian.md; 80:O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Reference\Lowe_Coherence_Lagrangian.md
blue\math-is-moral.html,Math Is Moral | David Lowe,12,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\Math is Moral.md,Math is Moral,100:O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\Math is Moral.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\SECULAR\___THE CONVERGENCE TX 6.6\MATH_IS_MORAL.md; 100:O:\_Theophysics_v3\06_NOTES\Math_Is_Moral.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\MATH_IS_MORAL.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\RIght Wrong\Math is Moral.md; 80:O:\_Theophysics_v3\00_KANBAN\PC_Math_Is_Moral.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\FORMAL_PAPERS\FP-002_MATH_IS_MORAL.md; 80:O:\_Theophysics_v3\06_NOTES\ZZZ_FOLDER_REVIEW\RETITLED_UNCLEAR\REVIEW - THE AUDIT MATH IS MORAL.md; 80:O:\_Theophysics_v3\David\____ THE TRUTH\EVIDENCE — Math Is Moral (DT-001).md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\FORMAL_PAPERS\FT-003_MATH_IS_MORAL\FP-002_MATH_IS_MORAL.md
blue\maxwell-truth-isomorphism.html,Maxwell–Truth Field Isomorphism | David Lowe,0,,,,,
blue\six_proofs.html,Six Computational Proofs | David Lowe,0,,,,,
blue\the-same-equation.html,The Same Equation | David Lowe,3,80,contains-title,O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\THE CONVERGENCE 1 Story\03_MAIN_The_Same_Equation.md,03_MAIN_The_Same_Equation,80:O:\_Theophysics_v3\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\THE CONVERGENCE 1 Story\03_MAIN_The_Same_Equation.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\FORMAL_PAPERS\FP-016_ISOMORPHIC\FP_THE_SAME_EQUATION_EVERYWHERE.md; 80:O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md
components\mtl-reader-bar.html,mtl-reader-bar,0,,,,,
components\tp-pill-player-bar-snippet.html,tp-pill-player-bar-snippet,0,,,,,
components\tp-pill-player-bar.html,tp-pill-player-bar,0,,,,,
components\tp-pill-player.html,TP Pill-Strip Audio Player,0,,,,,
convergence-deep\cdt-01-math-is-moral.html,Math Is Moral | Deep Theory CDT-01 | Theophysics,12,100,exact-title,O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\Math is Moral.md,Math is Moral,100:O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\Math is Moral.md; 100:O:\_Theophysics_v3\04_THEOPYHISCS\SECULAR\___THE CONVERGENCE TX 6.6\MATH_IS_MORAL.md; 100:O:\_Theophysics_v3\06_NOTES\Math_Is_Moral.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\MATH_IS_MORAL.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\RIght Wrong\Math is Moral.md; 80:O:\_Theophysics_v3\00_KANBAN\PC_Math_Is_Moral.md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\FORMAL_PAPERS\FP-002_MATH_IS_MORAL.md; 80:O:\_Theophysics_v3\06_NOTES\ZZZ_FOLDER_REVIEW\RETITLED_UNCLEAR\REVIEW - THE AUDIT MATH IS MORAL.md; 80:O:\_Theophysics_v3\David\____ THE TRUTH\EVIDENCE — Math Is Moral (DT-001).md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\FORMAL_PAPERS\FT-003_MATH_IS_MORAL\FP-002_MATH_IS_MORAL.md
convergence-deep\cdt-02-the-maxwell-moment.html,DT002 — The Maxwell Moment | Convergence Deep Theory,2,80,contains-title,O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\The Maxwell Moment.md,The Maxwell Moment,80:O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\The Maxwell Moment.md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\RIght Wrong\The Maxwell Moment.md
convergence-deep\cdt-03-the-energy-that-doesnt-run-out.html,DT003 — The Energy That Doesn't Run Out | Theophysics,4,80,contains-title,O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.7] _Unscored_Papers\_Drafts\Logos_Google_Drive_Export\Logos\THEOPHYSICS_TREE\02_VARIABLES\E (Energy).md,E (Energy),80:O:\_Theophysics_v3\04_THEOPYHISCS\[TX_A6.7] _Unscored_Papers\_Drafts\Logos_Google_Drive_Export\Logos\THEOPHYSICS_TREE\02_VARIABLES\E (Energy).md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\_Unscored_Papers\_Drafts\Logos_Google_Drive_Export\Logos\THEOPHYSICS_TREE\02_VARIABLES\E (Energy).md; 80:O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\The Energy That Doesn't Run Out.md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\RIght Wrong\The Energy That Doesn't Run Out.md
convergence-deep\cdt-04-the-map-that-drew-itself.html,DT004 — The Map That Drew Itself | Theophysics Convergence,2,80,contains-title,O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\The Map That Drew Itself.md,The Map That Drew Itself,80:O:\_Theophysics_v3\04_THEOPYHISCS\RIght Wrong\The Map That Drew Itself.md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\SECULAR\RIght Wrong\The Map That Drew Itself.md
