html_path,html_title,md_match_count,best_score,match_type,best_md_path,best_md_title,all_matches
audio\index.html,"Theophysics Audio — Narrated Papers, Stories & Deep Dives",0,,,,,
Axiom Layer\axioms-closure.html,Closure & Omega — Proof Explorer — Theophysics,0,,,,,
Axiom Layer\axioms-layer-0-core.html,Canonical Axiom Foundation — Proof Explorer,0,,,,,
Axiom Layer\axioms-layer-2-derived.html,Derived Chain Claims — Proof Explorer,0,,,,,
Axiom Layer\axioms-layer-3-extended.html,Extended Boundary Model — Proof Explorer,0,,,,,
Axiom Layer\fp-005-enhanced.html,FP-005 | Enhanced Proof Explorer — 6-Layer Stack,0,,,,,
Axiom Layer\fp-005.html,FP-005 | The Resurrection Paper — Proof Explorer,0,,,,,
blue\derivatives.html,What the Laws Produce | Derivative Families · David Lowe,0,,,,,
blue\evolution-probe.html,The Evolution Probe | Three Mathematical Killshots · David Lowe,0,,,,,
blue\god-in-the-equations.html,God in the Equations | The Ten Laws · David Lowe,0,,,,,
blue\gold-standard-test-battery.html,Gold Standard Test Battery | David Lowe,0,,,,,
blue\i-didnt-write-the-math.html,I Didn't Write the Math. I Found It. | David Lowe,0,,,,,
blue\index.html,Where All This Came From | David Lowe · Family Briefing,0,,,,,
blue\lowe-coherence-lagrangian.html,The Lowe Coherence Lagrangian | David Lowe,0,,,,,
blue\math-is-moral.html,Math Is Moral | David Lowe,0,,,,,
blue\maxwell-truth-isomorphism.html,Maxwell–Truth Field Isomorphism | David Lowe,0,,,,,
blue\six_proofs.html,Six Computational Proofs | David Lowe,0,,,,,
blue\the-same-equation.html,The Same Equation | David Lowe,0,,,,,
components\mtl-reader-bar.html,mtl-reader-bar,0,,,,,
components\tp-pill-player-bar-snippet.html,tp-pill-player-bar-snippet,0,,,,,
components\tp-pill-player-bar.html,tp-pill-player-bar,0,,,,,
components\tp-pill-player.html,TP Pill-Strip Audio Player,0,,,,,
convergence-deep\cdt-01-math-is-moral.html,Math Is Moral | Deep Theory CDT-01 | Theophysics,0,,,,,
convergence-deep\cdt-02-the-maxwell-moment.html,DT002 — The Maxwell Moment | Convergence Deep Theory,0,,,,,
convergence-deep\cdt-03-the-energy-that-doesnt-run-out.html,DT003 — The Energy That Doesn't Run Out | Theophysics,0,,,,,
convergence-deep\cdt-04-the-map-that-drew-itself.html,DT004 — The Map That Drew Itself | Theophysics Convergence,0,,,,,
convergence-deep\cdt-05-the-24-anti-properties.html,The 24 Anti-Properties | Deep Theory · Theophysics,0,,,,,
convergence-deep\cdt-06-it-from-bit-from-logos.html,It from Bit from Logos | Deep Theory CDT-06 | Theophysics,0,,,,,
convergence-deep\index.html,The Convergence: Deep Theory | Theophysics,0,,,,,
convergence-series\cns-01-the-playing-field.html,01 · The Playing Field — The Convergence Series,0,,,,,
convergence-series\cns-02-the-evidence.html,02 · The Evidence — The Convergence Series,0,,,,,
convergence-series\cns-03-why-math-works.html,03 · Why Math Works — The Convergence Series,0,,,,,
convergence-series\cns-04-the-paradigm-graveyard.html,04 · The Paradigm Graveyard — The Convergence Series,0,,,,,
convergence-series\cns-05-the-judgment-layer.html,05 · The Judgment Layer — The Convergence Series,2,80,contains-title,genesis-to-quantum\CODEX_BUILD\markdown\the-judgment-layer.md,You Shall Know Good and Evil,80:genesis-to-quantum\CODEX_BUILD\markdown\the-judgment-layer.md; 80:genesis-to-quantum\MD\the-judgment-layer.md
convergence-series\cns-06-the-priority-of-goodness.html,06 · The Priority of Goodness — The Convergence Series,0,,,,,
convergence-series\cns-07-the-verdict.html,07 · The Verdict — The Convergence Series,0,,,,,
convergence-series\index.html,The Convergence Series | Theophysics,0,,,,,
equation\index-kimi.html,Master Equation — Theophysics,2,80,contains-title,genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-07a-empirical-testing.md,Empirical Testing of the Theophysics Master Equation Against Biblical and Historical Data,80:genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-07a-empirical-testing.md; 80:genesis-to-quantum\MD\tangents\gtq-07a-empirical-testing.md
equation\index.html,Master Equation Explorer — Theophysics,0,,,,,
equation\Master EQ vs1.html,The Master Equation — Physics and Faith as One Story,0,,,,,
equation\master_story_index_backup.html,The Master Story — Theophysics Narrative Index,0,,,,,
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-01-measurement-collapsed-reality.html,GTQ-01 The Measurement That Collapsed Reality — Genesis to Quantum,6,100,exact-title,genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-01-why-time-is-grace.md,The Measurement That Collapsed Reality,100:genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-01-why-time-is-grace.md; 100:genesis-to-quantum\MD\tangents\gtq-01-why-time-is-grace.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\OBS\01_The Measurement That Collapsed Reality.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\OBS\01_The Measurement That Collapsed Reality_media_block.md; 80:genesis-to-quantum\MD\OBS\01_The Measurement That Collapsed Reality.md; 80:genesis-to-quantum\MD\OBS\01_The Measurement That Collapsed Reality_media_block.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-01a-collapse-threshold.html,The Collapse Threshold | GTQ Tangent 01A,2,100,exact-title,genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-01a-collapse-threshold.md,The Collapse Threshold,100:genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-01a-collapse-threshold.md; 100:genesis-to-quantum\MD\tangents\gtq-01a-collapse-threshold.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-02-the-first-quantum-state.html,Article 02: The First Quantum State — Genesis to Quantum,12,100,exact-title,genesis-to-quantum\CODEX_BUILD\markdown\gtq-02-the-first-quantum-state.md,The First Quantum State: A Structural Analysis of the Pre-Fall Condition as Quantum Superposition,100:genesis-to-quantum\CODEX_BUILD\markdown\gtq-02-the-first-quantum-state.md; 100:genesis-to-quantum\MD\gtq-02-the-first-quantum-state.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\academic\gtq-02-academic.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\OBS\02_The First Quantum State.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\OBS\02_The First Quantum State_published.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\OBS\02_The First Quantum State_published_publish_gate.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\OBS\The First Quantum.md; 80:genesis-to-quantum\MD\academic\gtq-02-academic.md; 80:genesis-to-quantum\MD\OBS\02_The First Quantum State.md; 80:genesis-to-quantum\MD\OBS\02_The First Quantum State_published.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03-free-will-two-frames.html,Article 03: Free Will in Two Frames — Genesis to Quantum,4,80,contains-title,genesis-to-quantum\CODEX_BUILD\markdown\OBS\03_Free Will in Two Frames.md,"[Free Will](https://www.oxfordreference.com/view/10.1093/acref/free+will) in Two Frames"" uuid: ""gtq-art-05-001"" date_created: ""2026-02-19T18:00:00Z"" status: ""draft"" series: ""Genesis to Quantum"" article_number: 3 tags:",80:genesis-to-quantum\CODEX_BUILD\markdown\OBS\03_Free Will in Two Frames.md; 80:genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-03b-the-three-pathways.md; 80:genesis-to-quantum\MD\OBS\03_Free Will in Two Frames.md; 80:genesis-to-quantum\MD\tangents\gtq-03b-the-three-pathways.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03a-macarthur-and-the-equation.html,GTQ 03A: MacArthur and the Equation | Genesis to Quantum,2,80,contains-title,genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-03a-macarthur-and-the-equation.md,MacArthur and the Equation,80:genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-03a-macarthur-and-the-equation.md; 80:genesis-to-quantum\MD\tangents\gtq-03a-macarthur-and-the-equation.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03b-the-three-pathways.html,The Three Pathways — Genesis to Quantum,2,100,exact-title,genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-03b-the-three-pathways.md,"The Three Pathways"" uuid: ""gtq-tangent-c-001"" date_created: ""2026-02-19T22:00:00Z"" status: ""draft"" series: ""Genesis to Quantum"" article_type: ""tangent"" parent_article: ""Art 0.5 — [Free Will](https://www.oxfordreference.com/view/10.1093/acref/free+will) in Two Frames"" tags:",100:genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-03b-the-three-pathways.md; 100:genesis-to-quantum\MD\tangents\gtq-03b-the-three-pathways.md
genesis-to-quantum\_link-fix-backup-2026-05-05-2124\gtq-03c-why-god-drowned-everybody.html,Why God Drowned Everybody — Genesis to Quantum,2,100,exact-title,genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-03c-why-god-drowned-everybody.md,Why Did God Drown Everybody.md,100:genesis-to-quantum\CODEX_BUILD\markdown\tangents\gtq-03c-why-god-drowned-everybody.md; 100:genesis-to-quantum\MD\tangents\gtq-03c-why-god-drowned-everybody.md
