html_path,html_title,md_match_count,best_score,match_type,best_md_path,best_md_title,all_matches
audio\index.html,"Theophysics Audio — Narrated Papers, Stories & Deep Dives",0,,,,,
Axiom Layer\axioms-closure.html,Closure & Omega — Proof Explorer — Theophysics,0,,,,,
Axiom Layer\axioms-layer-0-core.html,Canonical Axiom Foundation — Proof Explorer,0,,,,,
Axiom Layer\axioms-layer-2-derived.html,Derived Chain Claims — Proof Explorer,0,,,,,
Axiom Layer\axioms-layer-3-extended.html,Extended Boundary Model — Proof Explorer,0,,,,,
Axiom Layer\fp-005-enhanced.html,FP-005 | Enhanced Proof Explorer — 6-Layer Stack,2,80,contains-title,O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md,PROOF_EXPLORER_FP-005,80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md; 80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005_v2.md
Axiom Layer\fp-005.html,FP-005 | The Resurrection Paper — Proof Explorer,2,80,contains-title,O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md,PROOF_EXPLORER_FP-005,80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005.md; 80:O:\_Theophysics_v3\David\Family\Resurrection\PROOF_EXPLORER_FP-005_v2.md
blue\derivatives.html,What the Laws Produce | Derivative Families · David Lowe,0,,,,,
blue\evolution-probe.html,The Evolution Probe | Three Mathematical Killshots · David Lowe,0,,,,,
blue\god-in-the-equations.html,God in the Equations | The Ten Laws · David Lowe,1,80,contains-title,O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md,E_Equation,80:O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md
blue\gold-standard-test-battery.html,Gold Standard Test Battery | David Lowe,0,,,,,
blue\i-didnt-write-the-math.html,I Didn't Write the Math. I Found It. | David Lowe,1,100,exact-title,O:\_Theophysics_v3\David\Family\I Didn't Write the Math. I Found It..md,I Didn't Write the Math. I Found It.,100:O:\_Theophysics_v3\David\Family\I Didn't Write the Math. I Found It..md
blue\index.html,Where All This Came From | David Lowe · Family Briefing,1,100,exact-title,O:\_Theophysics_v3\David\Family\Where All This Came From.md,Where All This Came From,100:O:\_Theophysics_v3\David\Family\Where All This Came From.md
blue\lowe-coherence-lagrangian.html,The Lowe Coherence Lagrangian | David Lowe,3,100,exact-title,O:\_Theophysics_v3\99_MATH_APPENDIX\__ MASTER EQ\THE_LOWE_COHERENCE_LAGRANGIAN.md,THE_LOWE_COHERENCE_LAGRANGIAN,100:O:\_Theophysics_v3\99_MATH_APPENDIX\__ MASTER EQ\THE_LOWE_COHERENCE_LAGRANGIAN.md; 100:O:\_Theophysics_v3\David\Family\The Lowe Coherence Lagrangian.md; 80:O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Reference\Lowe_Coherence_Lagrangian.md
blue\math-is-moral.html,Math Is Moral | David Lowe,6,100,exact-title,O:\_Theophysics_v3\06_NOTES\Math_Is_Moral.md,Math_Is_Moral,100:O:\_Theophysics_v3\06_NOTES\Math_Is_Moral.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\MATH_IS_MORAL.md; 80:O:\_Theophysics_v3\00_KANBAN\PC_Math_Is_Moral.md; 80:O:\_Theophysics_v3\06_NOTES\ZZZ_FOLDER_REVIEW\RETITLED_UNCLEAR\REVIEW - THE AUDIT MATH IS MORAL.md; 80:O:\_Theophysics_v3\David\____ THE TRUTH\EVIDENCE — Math Is Moral (DT-001).md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\David\ZZZ_Archive\THE_TRUTH_ORIGINAL\EVIDENCE — Math Is Moral (DT-001).md
blue\maxwell-truth-isomorphism.html,Maxwell–Truth Field Isomorphism | David Lowe,0,,,,,
blue\six_proofs.html,Six Computational Proofs | David Lowe,0,,,,,
blue\the-same-equation.html,The Same Equation | David Lowe,1,80,contains-title,O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md,E_Equation,80:O:\_Theophysics_v3\99_TAG_NOTES\08_CONCEPTS\Types\E_Equation.md
components\mtl-reader-bar.html,mtl-reader-bar,0,,,,,
components\tp-pill-player-bar-snippet.html,tp-pill-player-bar-snippet,0,,,,,
components\tp-pill-player-bar.html,tp-pill-player-bar,0,,,,,
components\tp-pill-player.html,TP Pill-Strip Audio Player,0,,,,,
convergence-deep\cdt-01-math-is-moral.html,Math Is Moral | Deep Theory CDT-01 | Theophysics,6,100,exact-title,O:\_Theophysics_v3\06_NOTES\Math_Is_Moral.md,Math_Is_Moral,100:O:\_Theophysics_v3\06_NOTES\Math_Is_Moral.md; 100:O:\_Theophysics_v3\ZZZ_DUPLICATES\04_THEOPYHISCS\___THE CONVERGENCE TX 6.6\MATH_IS_MORAL.md; 80:O:\_Theophysics_v3\00_KANBAN\PC_Math_Is_Moral.md; 80:O:\_Theophysics_v3\06_NOTES\ZZZ_FOLDER_REVIEW\RETITLED_UNCLEAR\REVIEW - THE AUDIT MATH IS MORAL.md; 80:O:\_Theophysics_v3\David\____ THE TRUTH\EVIDENCE — Math Is Moral (DT-001).md; 80:O:\_Theophysics_v3\ZZZ_DUPLICATES\David\ZZZ_Archive\THE_TRUTH_ORIGINAL\EVIDENCE — Math Is Moral (DT-001).md
convergence-deep\cdt-02-the-maxwell-moment.html,DT002 — The Maxwell Moment | Convergence Deep Theory,0,,,,,
convergence-deep\cdt-03-the-energy-that-doesnt-run-out.html,DT003 — The Energy That Doesn't Run Out | Theophysics,0,,,,,
convergence-deep\cdt-04-the-map-that-drew-itself.html,DT004 — The Map That Drew Itself | Theophysics Convergence,0,,,,,
convergence-deep\cdt-05-the-24-anti-properties.html,The 24 Anti-Properties | Deep Theory · Theophysics,0,,,,,
convergence-deep\cdt-06-it-from-bit-from-logos.html,It from Bit from Logos | Deep Theory CDT-06 | Theophysics,1,100,exact-title,O:\_Theophysics_v3\06_NOTES\It_from_Bit_from_Logos.md,It_from_Bit_from_Logos,100:O:\_Theophysics_v3\06_NOTES\It_from_Bit_from_Logos.md
convergence-deep\index.html,The Convergence: Deep Theory | Theophysics,0,,,,,
convergence-series\cns-01-the-playing-field.html,01 · The Playing Field — The Convergence Series,0,,,,,
convergence-series\cns-02-the-evidence.html,02 · The Evidence — The Convergence Series,1,80,contains-title,O:\_Theophysics_v3\ZZZ_DUPLICATES\Prompt 1\The evidence.md,The evidence,80:O:\_Theophysics_v3\ZZZ_DUPLICATES\Prompt 1\The evidence.md
convergence-series\cns-03-why-math-works.html,03 · Why Math Works — The Convergence Series,0,,,,,
convergence-series\cns-04-the-paradigm-graveyard.html,04 · The Paradigm Graveyard — The Convergence Series,0,,,,,
convergence-series\cns-05-the-judgment-layer.html,05 · The Judgment Layer — The Convergence Series,0,,,,,
convergence-series\cns-06-the-priority-of-goodness.html,06 · The Priority of Goodness — The Convergence Series,0,,,,,
convergence-series\cns-07-the-verdict.html,07 · The Verdict — The Convergence Series,0,,,,,
convergence-series\index.html,The Convergence Series | Theophysics,0,,,,,
equation\index-kimi.html,Master Equation — Theophysics,57,100,exact-title,O:\_Theophysics_v3\MASTER_EQUATION\03_FORMAL_MATH\_MASTER_EQUATION.md,_MASTER_EQUATION,100:O:\_Theophysics_v3\MASTER_EQUATION\03_FORMAL_MATH\_MASTER_EQUATION.md; 80:O:\_Theophysics_v3\00_AXIOMS\012_E2.1_Master-Equation-First-Form.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\012_E2.1_Master-Equation-First-Form.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\135_A19.1_Master-Equation-Integration.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\146_E19.1_Full-Master-Equation.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\_BACKUP_PRE_AUTOWIRE\012_E2.1_Master-Equation-First-Form.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\_BACKUP_PRE_AUTOWIRE\146_E19.1_Full-Master-Equation.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\_BACKUP_PRE_REPAIR\012_E2.1_Master-Equation-First-Form.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\_BACKUP_PRE_REPAIR\135_A19.1_Master-Equation-Integration.md; 80:O:\_Theophysics_v3\00_AXIOMS\01_AXIOMS_CLEAN\SEQUENTIAL_001-190\_BACKUP_PRE_REPAIR\146_E19.1_Full-Master-Equation.md
equation\index.html,Master Equation Explorer — Theophysics,2,80,contains-title,O:\_Theophysics_v3\David\Research_Notes\Master EQ.md,Master EQ,80:O:\_Theophysics_v3\David\Research_Notes\Master EQ.md; 80:O:\_Theophysics_v3\MASTER_EQUATION\03_FORMAL_MATH\_MASTER_EQUATION.md
