html_path,title,destination,words,status
audio\index.html,"Theophysics Audio — Narrated Papers, Stories & Deep Dives",production-vault\ripped-md\audio\index.md,715,content
Axiom Layer\axioms-closure.html,Closure & Omega — Proof Explorer — Theophysics,production-vault\ripped-md\Axiom Layer\axioms-closure.md,398,content
Axiom Layer\axioms-layer-0-core.html,Canonical Axiom Foundation — Proof Explorer,production-vault\ripped-md\Axiom Layer\axioms-layer-0-core.md,644,content
Axiom Layer\axioms-layer-2-derived.html,Derived Chain Claims — Proof Explorer,production-vault\ripped-md\Axiom Layer\axioms-layer-2-derived.md,413,content
Axiom Layer\axioms-layer-3-extended.html,Extended Boundary Model — Proof Explorer,production-vault\ripped-md\Axiom Layer\axioms-layer-3-extended.md,420,content
Axiom Layer\fp-005-enhanced.html,FP-005 | Enhanced Proof Explorer — 6-Layer Stack,production-vault\ripped-md\Axiom Layer\fp-005-enhanced.md,595,content
Axiom Layer\fp-005.html,FP-005 | The Resurrection Paper — Proof Explorer,production-vault\ripped-md\Axiom Layer\fp-005.md,586,content
blue\derivatives.html,What the Laws Produce | Derivative Families · David Lowe,production-vault\ripped-md\blue\derivatives.md,4590,content
blue\evolution-probe.html,The Evolution Probe | Three Mathematical Killshots · David Lowe,production-vault\ripped-md\blue\evolution-probe.md,1996,content
blue\gold-standard-test-battery.html,Gold Standard Test Battery | David Lowe,production-vault\ripped-md\blue\gold-standard-test-battery.md,1982,content
blue\i-didnt-write-the-math.html,I Didn't Write the Math. I Found It. | David Lowe,production-vault\ripped-md\blue\i-didnt-write-the-math.md,1419,content
blue\index.html,Where All This Came From | David Lowe · Family Briefing,production-vault\ripped-md\blue\index.md,399,content
blue\lowe-coherence-lagrangian.html,The Lowe Coherence Lagrangian | David Lowe,production-vault\ripped-md\blue\lowe-coherence-lagrangian.md,2950,content
blue\math-is-moral.html,Math Is Moral | David Lowe,production-vault\ripped-md\blue\math-is-moral.md,3737,content
blue\maxwell-truth-isomorphism.html,Maxwell–Truth Field Isomorphism | David Lowe,production-vault\ripped-md\blue\maxwell-truth-isomorphism.md,1504,content
blue\six_proofs.html,Six Computational Proofs | David Lowe,production-vault\ripped-md\blue\six_proofs.md,2184,content
blue\the-same-equation.html,The Same Equation | David Lowe,production-vault\ripped-md\blue\the-same-equation.md,2348,content
components\mtl-reader-bar.html,mtl-reader-bar,production-vault\ripped-md\components\mtl-reader-bar.md,12,component
components\tp-pill-player-bar-snippet.html,tp-pill-player-bar-snippet,production-vault\ripped-md\components\tp-pill-player-bar-snippet.md,25,component
components\tp-pill-player-bar.html,tp-pill-player-bar,production-vault\ripped-md\components\tp-pill-player-bar.md,25,component
components\tp-pill-player.html,TP Pill-Strip Audio Player,production-vault\ripped-md\components\tp-pill-player.md,36,component
convergence-deep\cdt-01-math-is-moral.html,Math Is Moral | Deep Theory CDT-01 | Theophysics,production-vault\ripped-md\convergence-deep\cdt-01-math-is-moral.md,5404,content
convergence-deep\cdt-02-the-maxwell-moment.html,DT002 — The Maxwell Moment | Convergence Deep Theory,production-vault\ripped-md\convergence-deep\cdt-02-the-maxwell-moment.md,3823,content
convergence-deep\cdt-03-the-energy-that-doesnt-run-out.html,DT003 — The Energy That Doesn't Run Out | Theophysics,production-vault\ripped-md\convergence-deep\cdt-03-the-energy-that-doesnt-run-out.md,3906,content
convergence-deep\cdt-04-the-map-that-drew-itself.html,DT004 — The Map That Drew Itself | Theophysics Convergence,production-vault\ripped-md\convergence-deep\cdt-04-the-map-that-drew-itself.md,5038,content
convergence-deep\cdt-06-it-from-bit-from-logos.html,It from Bit from Logos | Deep Theory CDT-06 | Theophysics,production-vault\ripped-md\convergence-deep\cdt-06-it-from-bit-from-logos.md,2243,content
convergence-deep\index.html,The Convergence: Deep Theory | Theophysics,production-vault\ripped-md\convergence-deep\index.md,425,content
convergence-series\cns-01-the-playing-field.html,01 · The Playing Field — The Convergence Series,production-vault\ripped-md\convergence-series\cns-01-the-playing-field.md,1338,content
convergence-series\cns-02-the-evidence.html,02 · The Evidence — The Convergence Series,production-vault\ripped-md\convergence-series\cns-02-the-evidence.md,1587,content
convergence-series\cns-03-why-math-works.html,03 · Why Math Works — The Convergence Series,production-vault\ripped-md\convergence-series\cns-03-why-math-works.md,1555,content
convergence-series\cns-04-the-paradigm-graveyard.html,04 · The Paradigm Graveyard — The Convergence Series,production-vault\ripped-md\convergence-series\cns-04-the-paradigm-graveyard.md,1517,content
convergence-series\cns-05-the-judgment-layer.html,05 · The Judgment Layer — The Convergence Series,production-vault\ripped-md\convergence-series\cns-05-the-judgment-layer.md,1641,content
convergence-series\cns-06-the-priority-of-goodness.html,06 · The Priority of Goodness — The Convergence Series,production-vault\ripped-md\convergence-series\cns-06-the-priority-of-goodness.md,1646,content
convergence-series\cns-07-the-verdict.html,07 · The Verdict — The Convergence Series,production-vault\ripped-md\convergence-series\cns-07-the-verdict.md,1440,content
convergence-series\index.html,The Convergence Series | Theophysics,production-vault\ripped-md\convergence-series\index.md,286,content
equation\index.html,Master Equation Explorer — Theophysics,production-vault\ripped-md\equation\index.md,235,content
equation\Master EQ vs1.html,The Master Equation — Physics and Faith as One Story,production-vault\ripped-md\equation\Master EQ vs1.md,1690,content
genesis-to-quantum\Archive\gtq-02-the-first-quantum-state.html,Article 02: The First Quantum State — Genesis to Quantum,production-vault\ripped-md\genesis-to-quantum\Archive\gtq-02-the-first-quantum-state.md,8773,content
genesis-to-quantum\bridges.html,Bridge Registry — Genesis to Quantum,production-vault\ripped-md\genesis-to-quantum\bridges.md,3025,content
genesis-to-quantum\CODEX_BUILD\examples\gtq-01-finished.html,GTQ-01 The Measurement That Collapsed Reality — Genesis to Quantum,production-vault\ripped-md\genesis-to-quantum\CODEX_BUILD\examples\gtq-01-finished.md,6973,content
genesis-to-quantum\CODEX_BUILD\examples\gtq-02-finished.html,GTQ-02 The First Quantum State — Genesis to Quantum,production-vault\ripped-md\genesis-to-quantum\CODEX_BUILD\examples\gtq-02-finished.md,5096,content
genesis-to-quantum\CODEX_BUILD\template-main.html,[[GTQ-XX]] [[ARTICLE TITLE]] — Genesis to Quantum,production-vault\ripped-md\genesis-to-quantum\CODEX_BUILD\template-main.md,464,content
genesis-to-quantum\gtq-01-measurement-collapsed-reality-N.html,Article 01: The Measurement That Collapsed Reality — Genesis to Quantum,production-vault\ripped-md\genesis-to-quantum\gtq-01-measurement-collapsed-reality-N.md,6647,content
