html_path,html_title,md_match_count,best_score,match_type,best_md_path,best_md_title,all_matches
audio\index.html,"Theophysics Audio — Narrated Papers, Stories & Deep Dives",21,80,contains-title,\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Physics.md,Physics,80:\\192.168.2.50\z obsidian\00_Canonical_PRODUCTION_v1.0\Glossary\Physics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\00_SYSTEM\README_START_HERE.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Paper-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Paper-_HP_May-01-122826-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Physics-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Physics-_HP_May-01-122826-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\theophysics.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\theophysics_HP_May-01-122827-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\00_SYSTEM\README_START_HERE.md
Axiom Layer\axioms-closure.html,Closure & Omega — Proof Explorer — Theophysics,1,80,contains-title,\\192.168.2.50\z obsidian\Vault\AI-Chats History\2023-12-23_M_4949.md,M,80:\\192.168.2.50\z obsidian\Vault\AI-Chats History\2023-12-23_M_4949.md
Axiom Layer\axioms-layer-0-core.html,Canonical Axiom Foundation — Proof Explorer,1,80,contains-title,\\192.168.2.50\z obsidian\Vault\AI-Chats History\2023-12-23_M_4949.md,M,80:\\192.168.2.50\z obsidian\Vault\AI-Chats History\2023-12-23_M_4949.md
Axiom Layer\axioms-layer-2-derived.html,Derived Chain Claims — Proof Explorer,1,80,contains-title,\\192.168.2.50\z obsidian\Vault\AI-Chats History\2023-12-23_M_4949.md,M,80:\\192.168.2.50\z obsidian\Vault\AI-Chats History\2023-12-23_M_4949.md
Axiom Layer\axioms-layer-3-extended.html,Extended Boundary Model — Proof Explorer,17,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\boundary.md,boundary,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\boundary.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\boundary_HP_May-01-122826-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Model-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Model-_HP_May-01-122825-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Ten.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\Ten_HP_May-01-122826-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\boundary.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\boundary_HP_May-01-122826-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Model-.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\Model-_HP_May-01-122825-2026_Conflict.md
Axiom Layer\fp-005-enhanced.html,FP-005 | Enhanced Proof Explorer — 6-Layer Stack,1,80,contains-title,\\192.168.2.50\z obsidian\Opus\New Folder\05.md,The Demographic and Economic Ascension of the North American Amish: A Statistical Compendium and Analysis (2024–2025),80:\\192.168.2.50\z obsidian\Opus\New Folder\05.md
Axiom Layer\fp-005.html,FP-005 | The Resurrection Paper — Proof Explorer,1,80,contains-title,\\192.168.2.50\z obsidian\Opus\New Folder\05.md,The Demographic and Economic Ascension of the North American Amish: A Statistical Compendium and Analysis (2024–2025),80:\\192.168.2.50\z obsidian\Opus\New Folder\05.md
blue\derivatives.html,What the Laws Produce | Derivative Families · David Lowe,12,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\What.md,What,80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\What.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\99_TAG_NOTES\What_HP_May-01-122826-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\04_ANALYTICS\Laws.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Canonical_Global_Analytics\Laws.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Global_Analytics\Laws.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v4 Data Vault\Obsidian Data Analytics\Laws.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\What.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\99_TAG_NOTES\What_HP_May-01-122826-2026_Conflict.md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md
blue\evolution-probe.html,The Evolution Probe | Three Mathematical Killshots · David Lowe,2,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md
blue\god-in-the-equations.html,God in the Equations | The Ten Laws · David Lowe,2,80,contains-title,\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md,The.,80:\\192.168.2.50\z obsidian\_Theophysics_v3\_ARCHIVE\The..md; 80:\\192.168.2.50\z obsidian\_Theophysics_v5\_ARCHIVE\The..md
