eq_id,type,latex,latex_hash,source_file,context,easy,standard,academic,theology_side,shared_structure,conceptual_meaning,audio_safe,difficulty,law_reference,paper_ref,needs_review
EQ-011,display_math,\gamma_{\text{PPN}} - 1 \approx -2\xi^2\kappa_0\chi_0^2,e285d3f574158411a324088dc5100a5e3a28d913738add897b120ab4aa856539,consciousness-chi-field-action,1 + \xi\kappa_0\chi^2\): $$\gamma_{\text{PPN}} - 1 \approx -2\xi^2\kappa_0\chi_0^2$$,,,,,,,,,,,True
EQ-012,display_math,\nabla^\mu\left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)} + T_{\mu\nu}^{(\text{non-min})}\right) = 0,1aa4155703e6a832a66c68134b96ceb928aeec8f0cc911a0e8261300cc2646dd,consciousness-chi-field-action,"ein equation then gives: $$\nabla^\mu\left(T_{\mu\nu}^{(\text{matter})} + T_{\mu\nu}^{(\chi)} + T_{\mu\nu}^{(\text{non-min})}\right) = 0$$ <p class=""f",,,,,,,,,,,True
EQ-013,display_math,\rho_\chi = \frac{1}{2}\dot{\chi}^2 + V(\chi) + 3\xi H\chi\dot{\chi} + \frac{3}{2}\xi H^2\chi^2,2079f11a9ee74cfa4fbd5469e7a893ff7097b8eb875511b83695424abccf362d,consciousness-chi-field-action,"with homogeneous &chi;: $$\rho_\chi = \frac{1}{2}\dot{\chi}^2 + V(\chi) + 3\xi H\chi\dot{\chi} + \frac{3}{2}\xi H^2\chi^2$$ <div class=""eq-box rounded",,,,,,,,,,,True
EQ-014,display_math,p_\chi = \frac{1}{2}\dot{\chi}^2 - V(\chi) - \xi(\ddot{\chi}\chi + \dot{\chi}^2) - 2\xi H\chi\dot{\chi} - \xi(2\dot{H} + 3H^2)\chi^2,a2e0acaf1cc6d82a241f441225d6bc4e5451a60dc011dd34078e741dc5396c5e,consciousness-chi-field-action,$$p_\chi = \frac{1}{2}\dot{\chi}^2 - V(\chi) - \xi(\ddot{\chi}\chi + \dot{\chi}^2) - 2\xi H\chi\dot{\chi} - \xi(2\dot{H} + 3H^2)\chi^2$$,,,,,,,,,,,True
EQ-015,display_math,T_{\mu\nu}^{(\xi)} = \xi\left[g_{\mu\nu}\Box(\chi^2) - \nabla_\mu\nabla_\nu(\chi^2) + \chi^2\left(R_{\mu\nu} - \frac{1}{2}g_{\mu\nu}R\right)\right],5ea0704ed6a10cfc0c6b5f57b586e9dc1b84965707af0dced475f99f0b37ac20,consciousness-chi-field-action,"ray-300 mb-3"">Non-minimal coupling piece: $$T_{\mu\nu}^{(\xi)} = \xi\left[g_{\mu\nu}\Box(\chi^2) - \nabla_\mu\nabla_\nu(\chi^2) + \chi^2\left(R_{\mu\n",,,,,,,,,,,True
EQ-016,inline_math,"','\",00b3a3b85a377f9720088fb45895e5524827c0c0e2ab70c17d228365cedbea24,consciousness-chi-field-action,"js.cloudflare.com/ajax/libs/font-awesome/6.4.0/css/all.min.css""/> MathJax = { tex: { inlineMath: [['\\(','\\)']], displayMath: [['$$','$$']], processE",,,,,,,,,,,True
EQ-017,inline_math,m_\chi \sim H_0 \sim 10^{-33},70db07334c4fdb88e7e7e592932a899921dcbb5e50e4326af96a151ca62ccbe9,consciousness-chi-field-action,for the &chi;-field (Logos Field) as a physical scalar field with independent dynamical degrees of freedom. The field is massive at the Hubble scale (,,,,,,,,,,,True
EQ-018,inline_math,\lambda_\chi = \hbar/(m_\chi c) \sim c/H_0 \sim 10^{26},d51df5b94018702f3680979eac9110cd86010a8338e43d9e4de488fe4a0f551c,consciousness-chi-field-action,"nt-crimson text-lg leading-relaxed text-gray-300 mb-3""> If \(m_\chi \sim H_0 \sim 10^{-33}\) eV, the force range is cosmological: \(\lambda_\chi = \hb",,,,,,,,,,,True
EQ-019,inline_math,V(\chi) = \tfrac{1}{2}m^2\chi^2 + \tfrac{\lambda}{4}\chi^4,ec3b2b4bb7cbb58fa295287233be0c957d0fe975a5f4a7d5736f38736cbf2fcd,consciousness-chi-field-action,"Required by the potential structure: \(V(\chi) = \tfrac{1}{2}m^2\chi^2 + \tfrac{\lambda}{4}\chi^4\). The quartic term gives: <ul class=""list-disc list",,,,,,,,,,,True
EQ-020,inline_math,\langle\chi\rangle = \chi_0 \neq 0,eb2ab20be6c246b0960127ea8630eb87ba2dfcdf730e945fbd14a37576e71609,consciousness-chi-field-action,"gray-300 mt-2 space-y-1 ml-4""> Vacuum stability (potential bounded below) Symmetry breaking (VEV \(\langle\chi\rangle = \chi_0 \neq 0\) if \(m^2 Pertu",,,,,,,,,,,True
EQ-021,inline_math,m^2 < 0,48c86a9e605923fb1fa8b9a9d1b96a509d7521ba2c9658aa97928d9e3ab29aee,consciousness-chi-field-action,Vacuum stability (potential bounded below) Symmetry breaking (VEV \(\langle\chi\rangle = \chi_0 \neq 0\) if \(m^2 Perturbative structure for quantum c,,,,,,,,,,,True
EQ-022,inline_math,\xi\chi^2 R,a13a098bdd92e628edf7f4195c08fc3777572760a4b861e96fcc4945105deb22,consciousness-chi-field-action,"urvature (Option D) The \(\xi\chi^2 R\) term in the action is the mathematical expression of ""consciousness curves spacetime."" Not through stress-ener",,,,,,,,,,,True
EQ-023,inline_math,\kappa_0 = 8\pi G_N / c^4,ff31395690c214ca108c2b844a7fd80b39c5c3669129656f8c4804592722956d,consciousness-chi-field-action,"thcal{L}_{\text{matter}} \right]$$ where \(\kappa_0 = 8\pi G_N / c^4\) <div class=""text-sm font-inter font-semibold text-teal-accent/80 uppercase",,,,,,,,,,,True
EQ-024,inline_math,(1 + \xi\kappa_0\chi^2)R/2\kappa_0,288c30838758049fd288650cb49724722aa3b2b99d1378052cce029a4349155e,consciousness-chi-field-action,\((1 + \xi\kappa_0\chi^2)R/2\kappa_0\) Non-minimal coupling,,,,,,,,,,,True
EQ-025,inline_math,-\tfrac{1}{2}g^{\mu\nu}\partial_\mu\chi\partial_\nu\chi,9f6f5ebb2fe8569b19ac130fe201f7ab0a9cf7ddc8ee9d8cb6b4a056b728e8b5,consciousness-chi-field-action,\(-\tfrac{1}{2}g^{\mu\nu}\partial_\mu\chi\partial_\nu\chi\) Kinetic term,,,,,,,,,,,True
EQ-026,inline_math,-\tfrac{1}{2}m_\chi^2\chi^2,cde7fd41a1ec37bba00be938d209181abe1c7b93feb75257aa8b66c752ea5063,consciousness-chi-field-action,"\(-\tfrac{1}{2}m_\chi^2\chi^2\) Mass term <td class=""p",,,,,,,,,,,True
EQ-027,inline_math,-(\lambda/4)\chi^4,6ba28eced2e78dbad3d8abfb237ebcb522ea9eeeccba3f874e2d0807394b33da,consciousness-chi-field-action,"\(-(\lambda/4)\chi^4\) Self-interaction <td class=""px-",,,,,,,,,,,True
EQ-028,inline_math,\mathcal{L}_{\text{matter}},46f8ebbeebab9785dffd18bc82f7a107053cad2b452a595bdcf7bd46f65fb9b2,consciousness-chi-field-action,\(\mathcal{L}_{\text{matter}}\) Matter sector <td clas,,,,,,,,,,,True
EQ-029,inline_math,m_\chi,954a17d8f8a55e54bc76dfb0c52bf118dd242838b88c2a50400d6a9d693863c3,consciousness-chi-field-action,&chi;-field mass \(m_\chi\) \(\sim H_0 \sim 10^{-33}\) eV,,,,,,,,,,,True
EQ-030,inline_math,\sim H_0 \sim 10^{-33},798dd37127163b61dc026d59282ca5ee207c970f3d96a1b66c0db722d2a3482a,consciousness-chi-field-action,\(m_\chi\) \(\sim H_0 \sim 10^{-33}\) eV Quintessence regime; DESI DR2 consistency,,,,,,,,,,,True
EQ-031,inline_math,|\xi| \lesssim 10^5,3f2a78612be8509f28f0a08b0533cd0ff45342c2ab276c189455613526319795,consciousness-chi-field-action,\(\xi\) \(|\xi| \lesssim 10^5\) Cassini Shapiro delay bound,,,,,,,,,,,True
EQ-032,inline_math,\lambda,583cf6290785d72cc1b71808962dd4bd72ca369f004fb5cb587694fc1b26149f,consciousness-chi-field-action,"Self-coupling \(\lambda\) \(> 0\) <td class=""px-4",,,,,,,,,,,True
EQ-033,inline_math,\kappa_0,35165a2cb10ed645fe1ea88435d68167a7b4a640c1651d43ffda74eec1f5ce43,consciousness-chi-field-action,Gravitational coupling \(\kappa_0\) \(8\pi G_N/c^4\) <td cl,,,,,,,,,,,True
EQ-034,inline_math,8\pi G_N/c^4,d97e48d15754d641e27ba6f20dc038a7b66080cf1709118e197c53399956b0e6,consciousness-chi-field-action,\(\kappa_0\) \(8\pi G_N/c^4\) Standard GR,,,,,,,,,,,True
EQ-035,inline_math,\xi = 1/6,2a5192c3b7bc26b231f991593a8d5c11ba7ce80c770a26975207ebbc8bd9e4b4,consciousness-chi-field-action,Conformal special case \(\xi = 1/6\) Unique in 4D <td class,,,,,,,,,,,True
EQ-036,inline_math,x^\mu \to x'^\mu(x),5cb304979a0d81af44e43556f5179206a0012b73a425dcb79aab8f90af970009,consciousness-chi-field-action,"""font-mono text-teal-accent text-sm font-semibold"">Diffeomorphism invariance: \(x^\mu \to x'^\mu(x)\) &mdash; guaranteed by construction <div class=""b",,,,,,,,,,,True
EQ-037,inline_math,\chi \to -\chi,1dbbd8f05f42bbe01d56602e53e12115e89e7dcefc307cdc8504c58978019be7,consciousness-chi-field-action,"an class=""font-mono text-teal-accent text-sm font-semibold"">Z&sub;2 symmetry: \(\chi \to -\chi\) &mdash; action invariant; spontaneously broken by VEV",,,,,,,,,,,True
EQ-038,inline_math,\delta S / \delta\chi = 0,ddd4fdf4c51c373df59779ea0d8c5776deadd582c509c7a69204ed18a51b567b,consciousness-chi-field-action,Variation w.r.t. &chi;) \(\delta S / \delta\chi = 0\) gives:,,,,,,,,,,,True
EQ-039,inline_math,\Box\chi + V'_{\text{eff}}(\chi) = 0,8b9df1d49c2aa549cdc1df4033d85567a11340c119babb6bfac8d31b8815fc28,consciousness-chi-field-action,"div> Equivalently: \(\Box\chi + V'_{\text{eff}}(\chi) = 0\) where the effective potential is: <div class=""eq-box rounded-lg",,,,,,,,,,,True
